"variable","label"
"study","Studiennummer"
"version","GESIS Archivversion"
"doi","Digital Object Identifier"
"field_start","Beginn Erhebungszeitraum"
"field_end","Ende Erhebungszeitraum"
"lfdn","Laufende Nummer GLES Panel"
"sample","sample"
"kp28_010","Politisches Interesse, allgemein"
"kp28_020","Demokratiezufriedenheit"
"kp28_170","Wahlbeteiligungsabsicht"
"kp28_190aa","Beabsichtigte Stimmabgabe: Erststimme (Version A)"
"kp28_190ab","Beabsichtigte Stimmabgabe: Erststimme (Version B)"
"kp28_190ba","Beabsichtigte Stimmabgabe: Zweitstimme (Version A)"
"kp28_190bb","Beabsichtigte Stimmabgabe: Zweitstimme (Version B)"
"kp28_221c","Consideration Set: SPD"
"kp28_221a","Consideration Set: CDU/CSU"
"kp28_221e","Consideration Set: GRUENE"
"kp28_221d","Consideration Set: FDP"
"kp28_221i","Consideration Set: AfD"
"kp28_221f","Consideration Set: DIE LINKE"
"kp28_221m","Consideration Set: BSW"
"kp28_221g","Consideration Set: andere Partei"
"kp28_211c","Consideration Set, hypothetisch: SPD"
"kp28_211a","Consideration Set, hypothetisch: CDU/CSU"
"kp28_211e","Consideration Set, hypothetisch: GRUENE"
"kp28_211d","Consideration Set, hypothetisch: FDP"
"kp28_211i","Consideration Set, hypothetisch: AfD"
"kp28_211f","Consideration Set, hypothetisch: DIE LINKE"
"kp28_211m","Consideration Set, hypothetisch: BSW"
"kp28_211g","Consideration Set, hypothetisch: andere Partei"
"kp28_380","Wichtigkeit Wahlausgang"
"kp28_390","Interesse am Wahlkampf"
"kp28_342a","Faire Wahl: Parteien faire Chancen, Positionen zu praesentieren"
"kp28_342b","Faire Wahl: BTW wurde von den Behoerden korrekt und fair durchgefuehrt"
"kp28_342c","Faire Wahl: Die Stimmabgabe per Briefwahl ist ein sicheres Verfahren"
"kp28_850a","Loesungskompetenz: Wichtigstes Problem (Version A)"
"kp28_850b","Loesungskompetenz: Wichtigstes Problem (Version B)"
"kp28_870a","Loesungskompetenz: Zweitwichtigstes Problem (Version A)"
"kp28_870b","Loesungskompetenz: Zweitwichtigstes Problem (Version B)"
"kp28_1490c","Links-Rechts-Einstufung Parteien: SPD"
"kp28_1490a","Links-Rechts-Einstufung Parteien: CDU"
